cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_05pct_permanente,permanente,0.95,0.05,True,13,pib_real,% em relação ao benchmark,100,-1.6223383591727363,-1.619952843700856,0.04546945810147306,-1.7066329613170228,-1.6566371243207145,-1.5876764940053882,-1.5504077583225617,0.004546945810147306,-1.631250372960625,-1.6134263453848476,True
choque_05pct_permanente,permanente,0.95,0.05,True,13,taxa_desemprego,p.p. em relação ao benchmark,100,0.18870435505911012,0.18396243609449936,0.03215876595434908,0.14836553526263382,0.16406997203703802,0.2079820055667321,0.24873001621275084,0.003215876595434908,0.1824012369320577,0.19500747318616254,True
choque_05pct_permanente,permanente,0.95,0.05,True,14,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.2961866920597217,-0.29538612367272277,0.016806280023936773,-0.3268913073073479,-0.3068257574198949,-0.2833938514180306,-0.2727577581341831,0.0016806280023936773,-0.2994807229444133,-0.2928926611750301,True
choque_05pct_permanente,permanente,0.95,0.05,True,14,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.3736450586843811,0.3726660808331783,0.03127238906838679,0.3205106763848752,0.35474884942729573,0.39249673711058347,0.43046238971227496,0.003127238906838679,0.36751567042697725,0.3797744469417849,True
choque_05pct_permanente,permanente,0.95,0.05,True,14,inflacao,p.p. em relação ao benchmark,100,0.15501927854760272,0.15657447563962584,0.04427359369604758,0.0904092736079653,0.12468812582611115,0.1839094921885997,0.22976383296479883,0.004427359369604758,0.1463416541831774,0.16369690291202804,True
choque_05pct_permanente,permanente,0.95,0.05,True,14,pib_real,% em relação ao benchmark,100,-1.7049505994264589,-1.7054761526130005,0.04386818588076394,-1.7767930158307654,-1.7338597858839675,-1.6738396496568138,-1.6406480161622894,0.004386818588076394,-1.7135487638590887,-1.696352434993829,True
choque_05pct_permanente,permanente,0.95,0.05,True,14,taxa_desemprego,p.p. em relação ao benchmark,100,0.15735024452803645,0.15849520117212423,0.03564213287120299,0.09950651713370715,0.13313283574310425,0.18182616920669467,0.2223946930645436,0.003564213287120299,0.15036438648528067,0.16433610257079223,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.33623536058705783,-0.3327102156597007,0.021239362298783156,-0.3762569882852272,-0.3516836910484202,-0.3212514207389482,-0.30982419062786354,0.0021239362298783155,-0.3403982755976193,-0.33207244557649634,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.367114663547868,0.37013188053748175,0.029624659105312357,0.31752533317804793,0.3468351300292265,0.39063891637257614,0.4082930891013753,0.0029624659105312355,0.36130823036322673,0.3729210967325092,True
choque_05pct_permanente,permanente,0.95,0.05,True,15,inflacao,p.p. em relação ao benchmark,100,0.08023678893213777,0.0931677958935006,0.06212952762282853,-0.02661065884743343,0.04491483902408495,0.12076334846448097,0.1632233134296923,0.006212952762282853,0.06805940151806338,0.09241417634621217,True
