cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,horizonte,variavel,unidade,numero_simulacoes,media,mediana,desvio_padrao,p5,p25,p75,p95,erro_padrao,media_ic95_inferior,media_ic95_superior,media_diferente_zero_95
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,10,+5,taxa_desemprego,p.p. em relação ao benchmark,100,0.29139772548244314,0.29009585739487587,0.026805783922779946,0.25084185981322915,0.27761056631677017,0.3068756349348001,0.32778934232331053,0.0026805783922779947,0.28614379183357824,0.29665165913130803,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,15,+10,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.5669593527191301,-0.5594570040323025,0.039729881302464416,-0.6361963060074068,-0.5902121447731103,-0.5381049777010125,-0.5167922473730334,0.0039729881302464415,-0.5747464094544131,-0.5591722959838471,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,15,+10,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.5616621621648507,0.5678486913111097,0.050839723597462576,0.4719495855242135,0.5262648479725567,0.6031450645009213,0.631344638413197,0.005083972359746258,0.551697576339748,0.5716267479899533,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,15,+10,inflacao,p.p. em relação ao benchmark,100,0.11000053814044827,0.11846064690573804,0.1187138521503419,-0.09721549926034019,0.041391365423115674,0.19915160188492814,0.2610979555404247,0.01187138521503419,0.08673262311898126,0.1332684531619153,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,15,+10,pib_real,% em relação ao benchmark,100,-3.1583758820331123,-3.1689297499100375,0.08689040903840886,-3.2759747985796195,-3.2283612354762905,-3.0931948246666394,-2.996658532896555,0.008689040903840886,-3.1754064022046404,-3.141345361861584,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,15,+10,taxa_desemprego,p.p. em relação ao benchmark,100,0.26320501579058253,0.27196922258230427,0.05559053332567163,0.164839053541646,0.21956948727128997,0.30316917166370894,0.3412038179556386,0.0055590533325671635,0.2523092712587509,0.27410076032241415,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,25,final,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.31634481108390405,-0.2948165162566851,0.22861981592700656,-0.7317472373503416,-0.4716533799816536,-0.16814189547774952,0.07569480318328987,0.022861981592700656,-0.3611542950055973,-0.2715353271622108,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,25,final,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.921352261425925,0.8923558818220961,0.2651555679534602,0.5219990736998147,0.7294891000567689,1.109488484315086,1.3434841254659777,0.026515556795346017,0.8693817701070468,0.9733227527448032,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,25,final,inflacao,p.p. em relação ao benchmark,100,3.426464531798567,3.4193254066792855,0.42910838749607827,2.6751621723293697,3.1483572250541716,3.7423473804091003,4.187686256393013,0.04291083874960783,3.342359287849336,3.5105697757477983,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,25,final,pib_real,% em relação ao benchmark,100,-5.140975665188119,-5.139620570059328,0.6813328833162142,-6.211425492491031,-5.676166132416489,-4.662971223481777,-3.9932854627135823,0.06813328833162142,-5.274516910318097,-5.007434420058141,True
choque_10pct_permanente,permanente,0.9,0.0999999999999999,True,25,final,taxa_desemprego,p.p. em relação ao benchmark,100,0.22694853897663467,0.19645464662131001,0.26545779951661064,-0.17080830217449466,0.036604288309877824,0.41228111227961656,0.6951276129537693,0.026545779951661064,0.17491881027137898,0.2789782676818904,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,5,impacto,deficit_externo,p.p. do PIB em relação ao benchmark,100,-0.0032300481709320174,-0.0038383231167761003,0.004048902434603768,-0.008195564236790406,-0.006769208346610725,1.2710811118299871e-05,0.004387686363495783,0.0004048902434603768,-0.004023633048114356,-0.002436463293749679,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,5,impacto,deficit_governo,p.p. do PIB em relação ao benchmark,100,0.04374712033648576,0.04698593571336795,0.022575944327336332,0.0012205686376185305,0.02558808000461955,0.06337218238815635,0.07219031333875392,0.002257594432733633,0.03932223524832784,0.048172005424643685,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,5,impacto,inflacao,p.p. em relação ao benchmark,100,0.20516409649294348,0.19752112344615375,0.04879517877061762,0.15067098231069437,0.16263924578439057,0.244536382449817,0.29705260499871095,0.004879517877061762,0.19560024145390242,0.21472795153198454,True
choque_10pct_temporario,temporario,0.9,0.0999999999999999,False,5,impacto,pib_real,% em relação ao benchmark,100,-0.22326464187087844,-0.21335028008540585,0.061611736944130004,-0.33688761096618886,-0.2743959774354709,-0.16820427642270647,-0.15390297341065282,0.006161173694413,-0.2353405423119279,-0.21118874142982896,True
