rank,taxa_crescimento_populacional,taxa_crescimento_demanda_autonoma,a1,a3,velocidade_ajuste_expectativa_demanda,lambda_expectativa_precos,velocidade_ajuste_estoques_firmas,gamma_investimento_capacidade,gamma_investimento_retorno,eta_preco_padrao,eta_qualidade_padrao,parametro_markup,rho_qualidade,sigma_qualidade,rho_produtividade_idiossincratica,sigma_produtividade_idiossincratica,loss
90,0.012,0.03800000000000005,0.5199999999999999,0.39000000000000007,0.5100000000000001,1.35,0.1,0.98,0.0,-2.2500000000000027,0.7499999999999999,0.02,0.86,0.02,0.12,0.11,21.926119509191725
91,0.013000000000000001,0.023500000000000038,0.59,0.7900000000000001,0.32000000000000006,0.35000000000000003,0.25,0.18,0.03,-2.3000000000000025,0.39999999999999997,0.47000000000000003,0.0,0.01,0.74,0.015,22.842127214013022
92,0.0097,0.0015000000000000187,0.5199999999999999,0.6000000000000002,0.8100000000000002,0.9500000000000001,0.39,0.98,0.85,-2.200000000000003,0.9499999999999998,0.03,0.58,0.055,0.07,0.07500000000000001,26.14861351530054
93,0.0022,0.029000000000000043,0.45999999999999996,0.15000000000000002,1.0,1.25,0.71,1.0,0.03,-2.100000000000003,2.8499999999999996,0.24,0.44,0.07500000000000001,0.43,0.1,26.32956394054591
94,0.0193,0.045000000000000054,0.5199999999999999,0.29000000000000004,0.24000000000000005,1.5,0.84,0.7000000000000001,0.46,-1.3500000000000059,1.5999999999999996,0.1,0.24,0.04,0.9500000000000001,0.045,26.37442953937968
95,0.014100000000000001,0.04450000000000005,0.37999999999999995,0.8100000000000002,0.9900000000000002,0.75,0.18,0.98,0.34,-2.5500000000000016,2.7499999999999996,0.23,0.98,0.04,0.06,0.045,27.715547336970257
96,0.0193,0.04450000000000005,0.59,0.9100000000000003,0.5900000000000002,0.7000000000000001,0.56,0.3,0.1,-2.450000000000002,1.4999999999999998,0.03,0.58,0.034999999999999996,0.85,0.11,27.944783305621673
97,0.006200000000000001,0.012500000000000028,0.47,0.8100000000000002,0.9100000000000003,1.35,0.89,0.97,0.6,-1.2500000000000062,0.35,0.26,0.9,0.06,0.84,0.02,28.14811551819285
98,0.0154,0.01400000000000003,0.06999999999999999,0.45000000000000007,1.0,0.25,0.38,0.6900000000000001,0.11,-2.750000000000001,0.3,0.2,0.47000000000000003,0.065,0.85,0.07500000000000001,28.319044616914226
99,0.013600000000000001,0.03900000000000005,0.09999999999999999,0.17000000000000004,0.7600000000000002,0.6000000000000001,0.2,0.02,0.72,-0.750000000000008,2.3499999999999996,0.18,0.39,0.06,0.09,0.06,29.950530044064546
100,0.0047,-0.002499999999999985,0.37999999999999995,0.6000000000000002,0.9800000000000002,0.55,0.16,0.44,0.04,-2.9000000000000004,0.8499999999999999,0.26,0.31,0.14,0.03,0.045,30.277715059503794
101,0.014100000000000001,0.008000000000000024,0.37999999999999995,0.18000000000000005,0.8200000000000002,0.35000000000000003,0.33,0.62,0.81,-2.0500000000000034,0.35,0.18,0.92,0.125,0.18,0.02,30.99121325385057
102,0.0051,-0.0019999999999999844,0.29,0.7000000000000002,0.36000000000000004,0.8,0.12,0.02,0.4,-2.5000000000000018,1.7999999999999996,0.21,0.47000000000000003,0.11,0.61,0.045,32.19944115656446
103,0.0108,0.035000000000000045,0.48999999999999994,0.8700000000000002,0.5600000000000002,1.0,0.07,0.12,0.16,-1.4500000000000055,1.6999999999999997,0.2,0.5,0.085,0.32,0.10500000000000001,32.25319045078682
104,0.0074,0.030000000000000044,0.12999999999999998,0.8500000000000002,0.25000000000000006,1.1500000000000001,0.49,0.29,0.9400000000000001,-0.25000000000000977,2.9499999999999993,0.25,0.51,0.08,0.2,0.07500000000000001,32.73083019326796
105,0.0179,0.03850000000000005,0.32999999999999996,0.28,0.6100000000000001,1.05,0.45,0.17,0.25,-2.95,0.6499999999999999,0.24,0.65,0.14,0.08,0.14,33.4311076082739
106,0.016800000000000002,0.009500000000000026,0.06,0.6800000000000002,0.8400000000000002,1.05,0.61,0.49,0.29,-1.7000000000000046,1.0999999999999999,0.05,0.15,0.030000000000000002,0.86,0.034999999999999996,34.193097752803915
107,0.0109,0.034000000000000044,0.5199999999999999,0.8900000000000002,0.5900000000000002,0.95,0.11000000000000001,0.07999999999999999,0.12,-1.3500000000000054,1.5499999999999998,0.25,0.47,0.10500000000000001,0.33,0.11000000000000001,34.63913156278534
108,0.011600000000000001,0.006500000000000023,0.43999999999999995,0.35000000000000003,0.9100000000000003,0.15000000000000002,0.24,0.89,0.12,-1.3500000000000059,2.0999999999999996,0.31,0.35000000000000003,0.04,0.07,0.12000000000000001,34.811309711468866
109,0.0108,0.034500000000000045,0.45999999999999996,0.8700000000000002,0.5600000000000002,0.9,0.09000000000000001,0.13,0.12,-1.4500000000000055,1.6499999999999997,0.2,0.5,0.10500000000000001,0.32,0.11000000000000001,35.98178612485122
110,0.0151,0.03300000000000004,0.49999999999999994,0.08000000000000002,0.09000000000000001,0.7000000000000001,0.03,0.76,0.34,-2.200000000000003,0.3,0.37,0.72,0.11,0.38,0.1,37.71671201429191
111,0.0038,-0.013999999999999995,0.39999999999999997,0.7200000000000002,0.9500000000000002,1.4000000000000001,0.21,0.5700000000000001,0.66,-0.40000000000000924,0.35,0.26,0.06,0.06,0.04,0.125,37.72719881097753
112,0.018000000000000002,0.005500000000000022,0.14999999999999997,0.13,0.49000000000000005,0.55,0.37,0.28,0.12,-2.100000000000003,0.6499999999999999,0.49,0.05,0.015,0.78,0.025,39.55595444276405
113,0.0058000000000000005,-0.009499999999999991,0.049999999999999996,0.07,0.6500000000000001,1.1500000000000001,0.13,0.17,0.2,-1.3500000000000059,1.8499999999999996,0.21,0.53,0.09000000000000001,0.34,0.11,43.46065168473901
114,0.0068000000000000005,-0.016999999999999998,0.49999999999999994,0.5400000000000001,0.7500000000000002,0.9,0.55,0.44,0.25,-1.8000000000000043,0.9999999999999998,0.04,0.12,0.025,0.84,0.030000000000000002,44.49635497255533
115,0.0143,-0.00849999999999999,0.29,0.9500000000000002,0.07,1.25,0.72,0.6,0.38,-1.5500000000000052,1.3499999999999996,0.08,0.19,0.034999999999999996,0.9,0.04,47.905994113226356
116,0.0055000000000000005,0.01450000000000003,0.23999999999999996,0.38000000000000006,0.060000000000000005,1.5,0.08,0.02,0.9,-2.6000000000000014,3.7999999999999994,0.43,0.91,0.14500000000000002,0.67,0.01,51.04681662456883
117,0.008700000000000001,0.011500000000000028,0.39999999999999997,0.29000000000000004,0.9600000000000002,0.5,0.9500000000000001,0.93,0.03,-2.450000000000002,1.2499999999999998,0.34,0.05,0.115,0.31,0.045,52.33775133905557
