cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,periodo,variavel,media,mediana,desvio_padrao,p5,p95
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,22,deficit_governo,0.19607592045144423,0.19755660233950983,0.009235962367670618,0.17942251632145476,0.20964980898088942
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,22,inflacao,0.22174863233234166,0.22139327159295996,0.015996251663225197,0.19755333863735117,0.24963879444458406
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,22,pib_real,10462801.515759103,10460806.829825398,203094.12336563834,10185861.705929216,10809182.253010165
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,22,taxa_desemprego,0.0944101840628042,0.09545239796054814,0.00886773358529535,0.07999383268053692,0.10793398264363954
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,23,deficit_externo,-0.033487940791519295,-0.033972134004645965,0.00828188342261914,-0.04562044462761466,-0.01969957005762813
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,23,deficit_governo,0.20824011731440994,0.20893306170342513,0.007415178991709535,0.19517698381799262,0.22031044721398152
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,23,inflacao,0.1950817726958876,0.19484192450692894,0.019751238737051428,0.1670648881766863,0.22940757163461745
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,23,pib_real,10295819.114003053,10297251.199698322,181099.24554142597,10033007.22778359,10664400.804001346
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,23,taxa_desemprego,0.1002776638610314,0.1007420350028903,0.007767037385405135,0.08711113096666574,0.11184221327921741
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,24,deficit_externo,-0.047378360616811624,-0.0479394988393078,0.0070067381703274294,-0.05746766908340932,-0.03448768347270548
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,24,deficit_governo,0.2081522679064909,0.20941291084400537,0.008086483071839939,0.19460016832940763,0.2210891572513131
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,24,inflacao,0.16440408652992228,0.1627867822386878,0.020532081652742513,0.13556060040631734,0.20057703044593528
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,24,pib_real,10297955.43174439,10273690.033724494,148450.09277976953,10070638.248404056,10536764.800649323
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,24,taxa_desemprego,0.09557070628554609,0.09622562859622982,0.00805900493763736,0.08185054891016405,0.10789039282980414
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,25,deficit_externo,-0.05275110579506121,-0.05317896325518577,0.005736686412415964,-0.060307363231167394,-0.04227522944364401
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,25,deficit_governo,0.19468353245353215,0.1953109450706874,0.011560807196043688,0.17510523977068276,0.21232885300204335
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,25,inflacao,0.1395519265053748,0.13750157574409871,0.018435844984461994,0.11243620272954126,0.17128459190971024
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,25,pib_real,10607627.39846331,10606055.58463305,200067.5251875026,10289264.855365431,10959914.894903788
choque_05pct_permanente,permanente,0.95,0.050000000000000044,True,25,taxa_desemprego,0.07797600487588674,0.0787987609349696,0.011111596258878578,0.059138667663451626,0.09441939071661153
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,0,deficit_externo,0.010583740505574736,0.010583740505574736,0.0,0.010583740505574736,0.010583740505574736
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,0,deficit_governo,0.12063832026847152,0.12063832026847152,0.0,0.12063832026847152,0.12063832026847152
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,0,inflacao,0.03,0.03,0.0,0.03,0.03
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,0,pib_real,7609597.0,7609597.0,0.0,7609597.0,7609597.0
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,0,taxa_desemprego,0.138,0.138,0.0,0.138,0.138
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,deficit_externo,0.007984462372586081,0.007984885903803248,3.926196770118726e-06,0.007984789509826234,0.007984885903803248
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,deficit_governo,0.11859323999532138,0.11859183719691781,1.301595028183166e-05,0.11859183719691781,0.11859204268442422
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,inflacao,0.030000000000000027,0.030000000000000027,2.2176955098475445e-17,0.030000000000000027,0.030000000000000027
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,pib_real,7652695.035586558,7652724.38733265,272.4260577675231,7652720.511295713,7652724.38733265
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,1,taxa_desemprego,0.1403920608512945,0.14039181650999813,2.241695576433764e-06,0.14039181650999813,0.14039188596331856
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,deficit_externo,0.003750554589595176,0.0037350567384015704,0.0016062757211644525,0.0012639399917380085,0.0064097518044404795
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,deficit_governo,0.12048060047939364,0.12049697829678668,6.805356220435828e-05,0.12035087318142733,0.12056834786677496
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,inflacao,0.0241790974363568,0.024178903792151374,6.352236575683177e-06,0.024168803029150497,0.024189329108142775
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,pib_real,7802944.495067831,7801636.532252673,7209.9131308595925,7793839.30654957,7814570.75365547
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,2,taxa_desemprego,0.13522962058815893,0.13522708141572493,2.1605326851770385e-05,0.13522708141572493,0.13522848442316332
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,deficit_externo,0.005747096504157826,0.005743644046670199,0.0015545355430605363,0.0035434152280053124,0.007982075671837357
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,deficit_governo,0.11184773284071642,0.11185072468678268,0.0008446542854071099,0.11054861292060025,0.11337891797923047
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,inflacao,0.026860137300484296,0.02686369906445485,3.627102333315835e-05,0.02681065147278915,0.02691262388561052
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,3,pib_real,8053418.840898419,8052453.326104144,22860.68877838277,8015425.902262519,8088025.718333901
