cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,simulacao,seed,periodo,variavel,irf,unidade
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,10,pib_real,-0.21698595504909823,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,11,pib_real,-0.2096643990820546,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,12,pib_real,-0.18361360829894924,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,13,pib_real,-0.1260869943969789,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,14,pib_real,-0.07270575220498232,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,15,pib_real,-0.08823250380923797,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,16,pib_real,-0.10920583299504072,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,17,pib_real,-0.1191113856808923,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,18,pib_real,-0.10958363282930206,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,19,pib_real,-0.09727677852128247,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,20,pib_real,-0.08393523934475677,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,21,pib_real,-0.07041643889705851,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,22,pib_real,-0.0618989655052915,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,23,pib_real,-0.07538264394100214,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,24,pib_real,-0.09734013896250948,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,5,46,25,pib_real,-0.11321813703731864,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,0,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,1,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,2,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,3,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,4,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,5,pib_real,-0.09541851352422581,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,6,pib_real,-0.12175903700908375,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,7,pib_real,-0.18269154318039105,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,8,pib_real,-0.22318509430983013,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,9,pib_real,-0.23839339252741398,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,10,pib_real,-0.23850831332958844,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,11,pib_real,-0.20877316950993485,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,12,pib_real,-0.1756377026887468,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,13,pib_real,-0.126226189459544,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,14,pib_real,-0.07240739308386202,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,15,pib_real,-0.08539029932748132,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,16,pib_real,-0.11166322397532236,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,17,pib_real,-0.12517540545073924,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,18,pib_real,-0.14593167968656173,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,19,pib_real,-0.14544901466045923,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,20,pib_real,-0.16661616538981017,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,21,pib_real,-0.1550699187113258,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,22,pib_real,-0.12879490201305188,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,23,pib_real,-0.10023834325831871,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,24,pib_real,-0.06891964742063994,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,6,47,25,pib_real,-0.05328479958142118,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,0,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,1,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,2,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,3,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,4,pib_real,0.0,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,5,pib_real,-0.08638139600330996,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,6,pib_real,-0.07705347478492719,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,7,pib_real,-0.17580933452203684,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,8,pib_real,-0.23778366968391085,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,9,pib_real,-0.26848157579352216,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,10,pib_real,-0.2701953039360716,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,11,pib_real,-0.23101054552960854,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,12,pib_real,-0.1623914061485765,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,13,pib_real,-0.08087454052742027,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,14,pib_real,-0.021974344262631895,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,15,pib_real,-0.05315164912306214,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,16,pib_real,-0.09491065164463075,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,17,pib_real,-0.11833970185138876,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,18,pib_real,-0.15079246325524487,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,19,pib_real,-0.1821114032490967,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,20,pib_real,-0.21017181641238558,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,21,pib_real,-0.22098988647352158,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,22,pib_real,-0.1938182791556109,% em relação ao benchmark
choque_05pct_temporario,temporario,0.95,0.050000000000000044,False,7,48,23,pib_real,-0.15250377067271836,% em relação ao benchmark
