Código CNAE 2.0,Seções e divisões da classificação de atividades ,Faias de pessoal ocupado total,"Número de empresas 
e outras 
organizações",Pessoal ocupado total,"Pessoal ocupado
assalariado","Pessoal ocupado
assalariado.1","Pessoal ocupado
assalariado.2","Pessoal ocupado
assalariado.3","Pessoal ocupado
assalariado.4",Pessoal assalariado médio,Pessoal assalariado médio.1,Pessoal assalariado médio.2,Pessoal assalariado médio.3,Pessoal assalariado médio.4,Salários e outras remunerações,Salários e outras remunerações.1,Salários e outras remunerações.2,Salários e outras remunerações.3,Salários e outras remunerações.4,"Salário médio  mensal 
(salários mínimos) (1) (2)","Salário médio  mensal 
(salários mínimos) (1) (2).1","Salário médio  mensal 
(salários mínimos) (1) (2).2","Salário médio  mensal 
(salários mínimos) (1) (2).3","Salário médio  mensal 
(salários mínimos) (1) (2).4","Salário médio mensal 
(R$) (2)","Salário médio mensal 
(R$) (2).1","Salário médio mensal 
(R$) (2).2","Salário médio mensal 
(R$) (2).3","Salário médio mensal 
(R$) (2).4",setor,limite_inferior,numero_empresas,pessoal_ocupado
G,Comércio; reparação de veículos automotores e motocicletas,30 a 49,15608,581581,561089,335251,225838,42996,518093,545065.11,329065.43,215999.68,42626.6,502438.51,15772988.153,10112872.075,5660116.078,2777410.216,12995577.937,2.023623,2.149098,1.832467,4.556415,1.808742,2225.98504057616,2364.00777966395,2015.71384023133,5012.05678361182,1989.61628420499,G,30,15608,581581.0
G,Comércio; reparação de veículos automotores e motocicletas,50 a 99,8777,598958,587124,359725,227399,58336,528788,572174.06,353905.51,218268.55,57330.05,514844.01,19251413.286,12598877.458,6652535.828,4770084.484,14481328.802,2.352873,2.489479,2.131376,5.818455,1.966965,2588.15987756754,2738.4270446825,2344.51333108123,6400.30098861431,2163.66190097971,G,50,8777,598958.0
G,Comércio; reparação de veículos automotores e motocicletas,100 a 249,4243,637858,631622,383088,248534,74324,557298,616437.59,375574.16,240863.43,73115.58,543322.01,23160322.782,15132583.986,8027738.796,6732024.178,16428298.604,2.627359,2.817613,2.3307,6.438722,2.114459,2890.09515289792,3099.37436057901,2563.76972180076,7082.59462199859,2325.90481145936,G,100,4243,637858.0
G,Comércio; reparação de veículos automotores e motocicletas,250 a 499,1270,434101,432174,262504,169670,58618,373556,413126.73,253736.48,159390.25,55549.65,357577.08,17343218.345,11333595.037,6009623.308,6304963.967,11038254.378,2.935691,3.123552,2.636632,7.937162,2.158712,3229.26022929127,3435.90721699203,2900.29481728023,8730.87820050656,2374.5830986018,G,250,1270,434101.0
G,Comércio; reparação de veículos automotores e motocicletas,500 ou mais,1015,2305142,2303631,1174445,1129186,265176,2038455,2259094.42,1163152.11,1095942.31,263277.72,1995816.7,81145904.736,46441921.663,34703983.073,26346789.744,54799114.992,2.511864,2.792143,2.214398,6.998058,1.920069,2763.05081219226,3071.35711814894,2435.83730193019,7697.86419509348,2112.07599267315,G,500,1015,2305142.0
H,"Transporte, armazenagem e correio",0 a 4,177192,304223,92533,77057,15476,3548,88985,114160.34,96183.65,17976.69,4321.15,109839.19,2693416.057,2337961.359,355454.698,158615.481,2534800.576,1.649879,1.699809,1.382734,2.566907,1.613803,1814.8671468433,1869.78952723814,1521.00687484309,2823.59808063915,1775.18297150869,H,0,177192,304223.0
H,"Transporte, armazenagem e correio",5 a 9,27701,179102,132069,111735,20334,5601,126468,132793.66,112633.52,20160.14,5668.45,127125.21,3301584.952,2860277.633,441307.319,224427.762,3077157.19,1.738638,1.775843,1.530776,2.768702,1.692708,1912.50149465546,1953.42697613122,1683.85322949909,3045.57224638129,1861.97843237206,H,5,27701,179102.0
H,"Transporte, armazenagem e correio",10 a 19,15220,203717,174121,145856,28265,8273,165848,172636.59,144972.52,27664.07,8228.75,164407.84,4623888.632,3943274.949,680613.683,356014.743,4267873.889,1.873003,1.902109,1.720476,3.025506,1.815319,2060.30332806665,2092.31958050236,1892.5233594445,3328.05705137943,1996.85119311548,H,10,15220,203717.0
H,"Transporte, armazenagem e correio",20 a 29,4736,112873,106082,88845,17237,5555,100527,106961.83,89455.95,17505.88,5614.15,101347.68,3133922.591,2651273.965,482648.626,348408.192,2785514.399,2.048912,2.072571,1.928018,4.339786,1.92201,2253.80370304492,2279.82768227095,2120.81982651631,4773.76453316106,2114.2105905593,H,20,4736,112873.0
H,"Transporte, armazenagem e correio",30 a 49,4062,153983,148490,125161,23329,8676,139814,144654.47,122508.86,22145.61,8424.47,136230,4559628.124,3872121.219,687506.905,545706.627,4013921.497,2.204253,2.21027,2.170968,4.529816,2.060441,2424.67878747941,2431.29744562651,2388.06456622606,4982.7980687395,2266.48456343627,H,30,4062,153983.0
