setor,id_firma,faixa_pessoal,numero_firmas_representadas,pessoal_ocupado_firma,market_share_domestico,preco_relativo,qualidade_media_ponderada,pessoal_ocupado_medio_por_firma,peso_variedade,tipo_agente,qualidade,qualidade_efetiva_coorte,qualidade_por_firma
M,M_C000017,coorte de 10000 firmas,10000,81047,0.024213256628792406,1.0,9.349365086715316,8.1047,10000,coorte_firmas,0.1556060944461765,1.0883913796363138,1.0710153623094
M,M_C000018,coorte de 10000 firmas,10000,76777,0.022937569610087905,1.0,8.198249004870112,7.6777,10000,coorte_firmas,0.15145154211855325,1.0593014524684388,1.042389851791606
M,M_C000019,coorte de 10000 firmas,10000,67436,0.02014689222326853,1.0,5.905696365315489,6.7436,10000,coorte_firmas,0.14193974856701885,0.9927292008371843,0.9768804169186233
M,M_C000020,coorte de 10000 firmas,10000,70349,0.021017167699963195,1.0,5.320885901403544,7.0349,10000,coorte_firmas,0.14497298955309984,1.0139254583365866,0.9977382791087038
M,M_C000021,coorte de 10000 firmas,10000,68903,0.02058516689690776,1.0,5.130870498755844,6.8903,10000,coorte_firmas,0.1434753180756459,1.0034408165863498,0.9874210232089314
M,M_C000022,coorte de 10000 firmas,10000,68717,0.02052959832887988,1.0,5.316575995529665,6.8717,10000,coorte_firmas,0.14328153519864267,1.0020923406327629,0.9860940754867997
M,M_C000023,coorte de 10000 firmas,10000,74330,0.022206514309205023,1.0,6.5048594033733105,7.433,10000,coorte_firmas,0.14901850324441265,1.042244426295476,1.0256051386742886
M,M_C000024,coorte de 10000 firmas,10000,71556,0.021377765880660225,1.0,6.0348545825630495,7.1556,10000,coorte_firmas,0.14621137397842968,1.0225951752687474,1.0062695852132422
M,M_C000025,coorte de 10000 firmas,10000,66478,0.019860684222350752,1.0,5.566728439177679,6.6478,10000,coorte_firmas,0.14092793982156537,0.9856483997783824,0.9699126598660387
M,M_C000026,coorte de 10000 firmas,10000,72355,0.02161647171858643,1.0,6.505561806325284,7.2355,10000,coorte_firmas,0.1470254118123341,1.0283043951950381,1.0118876582357457
M,M_C000027,coorte de 10000 firmas,10000,79779,0.023834434347828167,1.0,8.556486820761924,7.9779,10000,coorte_firmas,0.15438404822982252,1.0798222976138456,1.0625830844921873
M,M_C000028,coorte de 10000 firmas,10000,83211,0.02485976405466513,1.0,9.219394063147757,8.3211,10000,coorte_firmas,0.15766979436361656,1.1028203603341327,1.085213986332859
M,M_C000029,coorte de 10000 firmas,10000,72486,0.021655608720799614,1.0,7.156950130792545,7.2486,10000,coorte_firmas,0.1471584476705283,1.029259783409279,1.012827793809737
M,M_C000030,coorte de 10000 firmas,10000,57926,0.01730572511603673,1.0,2.842093779901026,5.7926,10000,coorte_firmas,0.13155122620499107,0.9200156277773933,0.9053277059614071
M,M_C000031,coorte de 10000 firmas,10000,71315,0.021305765746817654,1.0,5.508029784615287,7.1315,10000,coorte_firmas,0.14596494697980628,1.0208624280109035,1.004564501024896
M,M_C000032,coorte de 10000 firmas,10000,70824,0.02115907667745374,1.0,6.087335424518253,7.0824,10000,coorte_firmas,0.14546159863501343,1.0173617437084563,1.0011197046615057
M,M_C000033,coorte de 10000 firmas,10000,63225,0.018888831793347067,1.0,3.730228490183222,6.3225,10000,coorte_firmas,0.13743664647155454,0.9611871879920676,0.9458419679311199
M,M_C000034,coorte de 10000 firmas,10000,71787,0.021446778457081945,1.0,7.323452932982977,7.1787,10000,coorte_firmas,0.14644718657960604,1.0242999973243492,1.0079471900213246
M,M_C000035,coorte de 10000 firmas,10000,79313,0.023695214172016386,1.0,8.993954409578114,7.9313,10000,coorte_firmas,0.15393249875194123,1.076674297753044,1.059485342012278
M,M_C000036,coorte de 10000 firmas,10000,70985,0.021207176351929483,1.0,5.909096747406027,7.0985,10000,coorte_firmas,0.14562683939414975,1.0185095279782017,1.0022491647146763
M,M_C000037,coorte de 10000 firmas,10000,66923,0.01999363052757874,1.0,4.7141169258503846,6.6923,10000,coorte_firmas,0.14139883495835012,0.988920178059205,0.9731322046606712
M,M_C000038,coorte de 10000 firmas,10000,75314,0.02250048995941702,1.0,7.8250617931754896,7.5314,10000,coorte_firmas,0.1500016331891657,1.0491591098789506,1.0324094302939857
M,M_C000039,coorte de 10000 firmas,10000,68964,0.020603390997174967,1.0,6.377725632569638,6.8964,10000,coorte_firmas,0.1435388135563861,1.0039257813985472,0.9878982456252065
M,M_C000040,coorte de 10000 firmas,10000,79506,0.02375287403023886,1.0,8.316226566781362,7.9506,10000,coorte_firmas,0.15411967437753968,1.0779563207714762,1.0607468977111425
M,M_C000041,coorte de 10000 firmas,10000,73627,0.021996489022519012,1.0,7.417341719034401,7.3627,10000,coorte_firmas,0.14831213376699498,1.0373330044291702,1.0207721269764622
M,M_C000042,coorte de 10000 firmas,10000,74275,0.02219008274339033,1.0,8.179281729656426,7.4275,10000,coorte_firmas,0.14896336040580693,1.0419135751273028,1.0252795694990993
M,M_C000043,coorte de 10000 firmas,10000,67419,0.02014181337565308,1.0,5.805514948239166,6.7419,10000,coorte_firmas,0.1419218565818989,0.992598213568406,0.9767515208434125
M,M_C000044,coorte de 10000 firmas,10000,70627,0.021100221796262926,1.0,6.137661226814251,7.0627,10000,coorte_firmas,0.1452591539155551,1.0159518859426686,0.9997323550792862
M,M_C000045,coorte de 10000 firmas,10000,75476,0.022548888389634848,1.0,8.425628387361863,7.5476,10000,coorte_firmas,0.15016287287353972,1.0503060121630405,1.0335380224422794
M,M_C000046,coorte de 10000 firmas,10000,72328,0.021608405313550128,1.0,6.951574376214063,7.2328,10000,coorte_firmas,0.1469979772430564,1.0281282162570817,1.0117142919700834
M,M_C000047,coorte de 10000 firmas,10000,69121,0.020650295648682367,1.0,5.460545220674635,6.9121,10000,coorte_firmas,0.14370210732164776,1.0050368368485643,0.9889915632291584
M,M_C000048,coorte de 2413 firmas,2413,14496,0.004330763237269421,1.0,3.2762026671488336,6.007459593866556,2413,coorte_firmas,0.06580853468410781,0.4602402889632266,0.9219695538534689
N,N_C000001,coorte de 10000 firmas,10000,96119,0.018052594599152916,1.0,16.35391769881657,9.6119,10000,coorte_firmas,0.13435994417665154,1.0221131119683453,1.0110114948859257
N,N_C000002,coorte de 10000 firmas,10000,93379,0.01753798136762035,1.0,17.068067776657948,9.3379,10000,coorte_firmas,0.1324310438213803,1.0074554476720157,0.9965130338856256
N,N_C000003,coorte de 10000 firmas,10000,94598,0.01776692791113794,1.0,17.10359595326931,9.4598,10000,coorte_firmas,0.133292640123669,1.014013156920711,1.0029995169890298
N,N_C000004,coorte de 10000 firmas,10000,124811,0.02344138395650053,1.0,21.925568380220508,12.4811,10000,coorte_firmas,0.1531057933472817,1.1647906525646285,1.1521393523762842
N,N_C000005,coorte de 10000 firmas,10000,91621,0.017207802513228284,1.0,16.278659917065106,9.1621,10000,coorte_firmas,0.1311785139160689,0.9979112210684309,0.987072471297168
N,N_C000006,coorte de 10000 firmas,10000,98021,0.01840981882045764,1.0,17.029879387980415,9.8021,10000,coorte_firmas,0.13568278748779317,1.0321888344188426,1.0209777805126854
N,N_C000007,coorte de 10000 firmas,10000,75913,0.014257603739172228,1.0,12.309820063451124,7.5913,10000,coorte_firmas,0.11940520817440178,0.9083110109940339,0.8984454482517826
N,N_C000008,coorte de 10000 firmas,10000,85536,0.01606494794612037,1.0,14.14241347493849,8.5536,10000,coorte_firmas,0.12674757570115638,0.9641807693152179,0.9537083807176807
N,N_C000009,coorte de 10000 firmas,10000,106265,0.01995816607620746,1.0,18.69062635197346,10.6265,10000,coorte_firmas,0.14127337355711253,1.0747390127871905,1.0630658028030973
N,N_C000010,coorte de 10000 firmas,10000,87442,0.016422923427617114,1.0,16.256977425907667,8.7442,10000,coorte_firmas,0.12815195444321992,0.9748928890463947,0.9643041514362051
N,N_C000011,coorte de 10000 firmas,10000,102366,0.01922587520403757,1.0,18.071931034453286,10.2366,10000,coorte_firmas,0.13865740226918133,1.054823305067619,1.043366408286477
N,N_C000012,coorte de 10000 firmas,10000,74608,0.014012505101526242,1.0,11.003057747633775,7.4608,10000,coorte_firmas,0.11837442756578062,0.9004551554873769,0.8906749186240999
N,N_C000013,coorte de 10000 firmas,10000,88605,0.01664135232844645,1.0,16.633626374331207,8.8605,10000,coorte_firmas,0.12900136560690528,0.981357696382885,0.9706987416756628
N,N_C000014,coorte de 10000 firmas,10000,89896,0.01688382155542037,1.0,14.426663173467377,8.9896,10000,coorte_firmas,0.12993776031400714,0.9884487195591112,0.9777127461510202
N,N_C000015,coorte de 10000 firmas,10000,79153,0.014866124494707091,1.0,13.087216128082876,7.9153,10000,coorte_firmas,0.12192671772301217,0.9274964778665904,0.9174225333862785
N,N_C000016,coorte de 10000 firmas,10000,81854,0.01537341293936748,1.0,13.934239008590643,8.1854,10000,coorte_firmas,0.12398956786507274,0.9432030681729862,0.9329585275529609
N,N_C000017,coorte de 10000 firmas,10000,108659,0.02040779530113044,1.0,21.108452870531025,10.8659,10000,coorte_firmas,0.14285585497672273,1.0868112358473783,1.0750069041741315
N,N_C000018,coorte de 10000 firmas,10000,94296,0.017710207766640555,1.0,18.00079958404496,9.4296,10000,coorte_firmas,0.13307970456324494,1.0123999861306086,1.001403867551692
N,N_C000019,coorte de 10000 firmas,10000,105202,0.019758518680178583,1.0,18.035295058248256,10.5202,10000,coorte_firmas,0.1405649980620303,1.0693302488419205,1.05771578580619
N,N_C000020,coorte de 10000 firmas,10000,96401,0.01810555844269021,1.0,18.06295011623229,9.6401,10000,coorte_firmas,0.1345568966745674,1.0236396359709181,1.01252143864435
N,N_C000021,coorte de 10000 firmas,10000,96805,0.018181435722084062,1.0,16.751436174073998,9.6805,10000,coorte_firmas,0.1348385542865395,1.0257566670791016,1.0146154757527115
N,N_C000022,coorte de 10000 firmas,10000,85748,0.016104764736297343,1.0,14.440301320063,8.5748,10000,coorte_firmas,0.12690454970684598,0.965374222661464,0.9548888714456992
N,N_C000023,coorte de 10000 firmas,10000,99316,0.018653039307623583,1.0,19.22957174612171,9.9316,10000,coorte_firmas,0.13657613007997987,1.0390189987261207,1.0277337594212423
N,N_C000024,coorte de 10000 firmas,10000,92228,0.017321806247367066,1.0,14.995383734286174,9.2228,10000,coorte_firmas,0.131612333188676,1.0011932103733778,0.9903188134823337
N,N_C000025,coorte de 10000 firmas,10000,92768,0.017423226373289545,1.0,15.971032292734034,9.2768,10000,coorte_firmas,0.13199706956326548,1.0041368974508398,0.9932305278883158
N,N_C000026,coorte de 10000 firmas,10000,86210,0.016191535288475462,1.0,15.94210235052416,8.621,10000,coorte_firmas,0.12724596374139127,0.9679951173153303,0.95748129941763
N,N_C000027,coorte de 10000 firmas,10000,89453,0.016800619489154338,1.0,15.32498923151035,8.9453,10000,coorte_firmas,0.12961720367742216,0.986019345622266,0.9753097587059253
