periodo,simulacao,seed,ano,indice_populacao,pea,indice_precos,inflacao,indice_salarios,indice_cambio,taxa_juros_nominal,pib_real,pib_nominal,emprego,taxa_desemprego,consumo_real,consumo_nominal,poupanca_familias_nominal,fbcf_familias_nominal,fbcf_nf_real,fbcf_nf_nominal,fbcf_fixa_nominal,variacao_estoques_real,variacao_estoques_nominal,variacao_autonoma_estoques_real,variacao_ciclica_estoques_real,estoque_real,investimento_liquido_nf_real,investimento_reposicao_nf_real,ajuste_piso_investimento_nf_real,estoque_capital_nf_real,setores_no_piso_investimento_nf,residuo_consumo,iteracoes_consumo,deficit_governo,saldo_setor_externo,discrepancia_cei,producao_real,vendas_real,importacoes_nominais,exportacoes_nominais,governo_real,fbcf_fixa_real,exportacoes_real,renda_disponivel_real,consumo_intermediario_real,investimento_nf_real,demanda_esperada_total,vendas_real_total
4,2,43,2024,1.0,115144635.73085847,1.1229121095748973,0.028666967665849086,1.1192339838959355,1.1243672726135916,0.09129599944722422,7654326.776862599,8595136.228382405,97443491.2220106,0.15372964964015268,4797195.562178668,5386828.988769383,2093684.3557920624,461809.4469561414,613658.2412125658,741661.8938748528,172395.54745142063,67345.6900467886,75699.60717517107,,,,,,,,,,,,,-1702.930160780903,13167539.677591674,13030244.706420673,1365890.8521120325,1407255.5856255102,1532117.1646061847,153480.35230589585,1252689.434796571,6661708.677621578,6143218.242621,613658.2412125658,13236210.405232802,13030244.706420673
5,2,43,2025,1.0,115144635.73085847,1.1537779994636386,0.02748736043146449,1.148030305233407,1.1565994728621443,0.0908414509968386,7635437.5031562755,8809599.807421288,96570272.86083338,0.16131331478994132,4795742.25717134,5533221.907422382,2150582.4983210955,472894.1479883582,591213.3228884564,734379.7733880528,177269.22342542227,79155.26899640149,91421.61769519746,,,,,,,,,,,,,-2116.112252587918,13065041.186068278,12913877.322448969,1409962.802014668,1447088.7410509596,1534694.4149592528,153571.16436191293,1253381.141197395,6659690.520460157,6094471.6992292795,591213.3228884564,13165823.66138973,12913877.322448969
6,2,43,2026,1.0,115144635.73085847,1.1840770479794143,0.02626072652612632,1.175413884425033,1.1883913394475478,0.08998891009557947,7608997.595723529,9009639.411226777,96500613.77301714,0.1619182851159499,4795138.059728003,5677812.918416471,2206780.298239678,485163.9625716968,571301.6138520308,729196.6172472899,181974.63174104987,66003.6892617084,78112.07353836228,,,,,,,,,,,,,-1942.7288836729713,13002453.037818665,12889499.81607245,1435425.40072175,1485647.7621098822,1534616.5490856576,153579.2816650728,1253453.5516387394,6658851.491219198,6058013.265609951,571301.6138520308,13079723.487800155,12889499.81607245
7,2,43,2027,1.0,115144635.73085847,1.2135119513550046,0.024858942604976564,1.203280112738584,1.2195993594187968,0.08891244196413214,7577056.247391572,9194848.312298775,96147079.60979809,0.16498863364738656,4765682.848873984,5783213.093476146,2247745.9012094876,497291.03342451924,566086.804152102,740303.2490584119,186581.91553112533,51347.475350351815,62280.05401045057,,,,,,,,,,,,,-2313.1565210625995,12932449.651258457,12832109.316479428,1447002.4752126539,1523437.377248318,1533291.4369645482,153621.21406299702,1253879.278176639,6617948.002669676,6021110.128085774,566086.804152102,13014716.42627483,12832109.316479428
8,2,43,2028,1.0,115144635.73085847,1.2421772137919578,0.023621738875291287,1.230932936414166,1.2499173098956549,0.08763137266162961,7550357.414294147,9378881.936021354,95325968.92090835,0.17211975776513552,4756448.701910066,5908352.19608302,2296383.380136718,505800.8915765763,564662.9280471305,755472.8708074687,190983.15855134474,15806.830350153203,19647.696281866534,,,,,,,,,,,,,-2918.777558013564,12840085.365265034,12788257.274950443,1452113.5403389896,1559377.9059335708,1533574.486840176,153598.19576249254,1253656.4233534397,6605124.84460521,5978850.1661265725,564662.9280471305,12952312.249583175,12788257.274950443
9,2,43,2029,1.0,115144635.73085847,1.2697063124953745,0.02216197366829764,1.257219429609763,1.2794425302057166,0.08633517004252281,7530620.655949003,9561676.583866507,95109957.43130867,0.17399575909362627,4753448.202222705,6035483.188481959,2345795.0415198626,516088.88631661504,568388.7412565456,777976.6211415284,195270.30852654832,3389.119110416077,4514.687582181832,,,,,,,,,,,,,-3091.365976504283,12801216.031619977,12762805.37868006,1495390.1557715933,1594403.0774318092,1534533.1809319477,153623.21918882095,1253846.1771122226,6600958.148762732,5961096.275997915,568388.7412565456,12896248.081897719,12762805.37868006
10,2,43,2030,1.0,115144635.73085847,1.296453176106824,0.021065393901116947,1.283546246809217,1.307797501870236,0.08491339250292264,7508983.882591465,9735046.003920656,94575933.24709421,0.17863361461181732,4746730.040603534,6153913.237262126,2391824.9305146076,526398.8301563954,576018.0720619892,804716.2469645946,199336.34063526563,-34151.11278450639,-44040.83539969191,,,,,,,,,,,,,-3100.944902068237,12745789.381698921,12759877.237607261,1505070.5339784701,1627632.0757372573,1533228.005428071,153579.15077914673,1253494.1876035098,6591628.857309837,5935266.226969431,576018.0720619892,12850645.355699724,12759877.237607261
11,2,43,2031,1.0,115144635.73085847,1.3222102125908273,0.019867309486139906,1.309138330081256,1.335346771390029,0.08362134841453017,7523423.5033298815,9947547.38974863,94460214.66642545,0.17963859916827762,4745348.605183916,6274348.388077811,2438634.1371324444,536168.0583835655,582460.4973929193,828317.6757938885,203313.22790337823,-18938.376625644203,-24923.0439748893,,,,,,,,,,,,,-3651.7871366506442,12731438.79517721,12729107.31748822,1541377.4400338049,1660103.636256677,1533821.122618081,153587.3825338542,1253580.7786440726,6589710.503095763,5930216.212219466,582460.4973929193,12819626.24759513,12729107.31748822
12,2,43,2032,1.0,115144635.73085847,1.3474953624652157,0.01912339629024884,1.3349618382725965,1.3618765189685524,0.08234034111231187,7517545.572337957,10129857.795846313,94068883.0164585,0.1830372086430747,4740600.956846279,6387937.804648527,2482782.6306067063,545965.038088545,587916.92819968,849576.4529394924,207110.7730461789,-19656.547537235845,-26144.15773050086,,,,,,,,,,,,,-3304.1710306757595,12696568.522426346,12694932.845069282,1575404.6073897646,1691037.2598973145,1532806.6377700125,153520.52138875614,1253035.0072848226,6583117.599029379,5916736.4173548855,587916.92819968,12788692.29702409,12694932.845069282
13,2,43,2033,1.0,115144635.73085847,1.3721683032302299,0.018310223138635173,1.3603471052991276,1.3879202233391728,0.08130556092845956,7500435.781241939,10291860.239434056,94058276.69149151,0.18312932170504811,4741592.831752471,6506263.390554408,2528771.9182966556,555479.1296205643,589990.0395971407,870846.9438981815,210910.8825456466,-54786.0993772862,-74864.0951895117,,,,,,,,,,,,,-3832.320379547309,12687408.084585818,12723520.463401124,1587074.694591403,1721941.3284461412,1533334.1744383099,153530.7404883605,1253082.3866601249,6584494.983291504,5912460.608070244,589990.0395971407,12756650.93010877,12723520.463401124
14,2,43,2034,1.0,115144635.73085847,1.3969273440698817,0.018043734709048742,1.386189219674759,1.4133333523271374,0.08035718076526795,7528285.735344628,10516468.197674148,93625299.71383378,0.18688960958046236,4740714.246621455,6622433.361527161,2573923.3889198275,565268.5003661547,603198.3083645437,900826.2850198088,214589.13773540696,-13966.738105650336,-19322.631122696923,,,,,,,,,,,,,-3929.0659387165215,12664593.028120272,12660236.238446679,1645031.8325261213,1751897.917661046,1532372.1480027405,153447.26237861798,1252407.1644035073,6583274.920837212,5904731.307766047,603198.3083645437,12745328.920244984,12660236.238446679
15,2,43,2035,1.0,115144635.73085847,1.4214592008565248,0.017561297579851587,1.411459412712704,1.4388351643919788,0.07974173512214902,7539545.358622715,10717156.120289365,92864035.23993784,0.1935009855170308,4746118.812549586,6746414.2544568535,2622110.7096024044,575239.5433359499,599355.2527725851,908019.9115220237,218388.72390291418,-9237.351854681821,-12853.612424564544,,,,,,,,,,,,,-3708.2374767700676,12606010.018053252,12595136.531778842,1666251.1710909149,1782826.6022199458,1533156.7671038804,153478.08089339992,1252636.1883654865,6590780.064889722,5878990.3214318715,599355.2527725851,12716249.336454092,12595136.531778842
