simulacao,seed,periodo,firma,setor,regime,preco_capital,demanda_esperada,expectativa_vendas_real,producao_desejada_real,producao_planejada_real,producao_real,vendas_real,vendas_nominal,demanda_recebida_real,demanda_nao_atendida_real,producao_nao_vendida_real,excedente_nao_estocavel_real,estoque,variacao_estoque_real,capital_real,capital_desejado,gap_capital,investimento_liquido,investimento_reposicao,investimento_bruto,preco_firma,preco_transacao,market_share_desejado,market_share_realizado,qualidade_base,desvio_qualidade,qualidade,eob_realizado,r_obs_bruto,r_obs,r_ajustado,demanda_trabalho,fator_clima,producao_normal_real,capacidade_estrutural_real,capacidade_efetiva_real,taxa_utilizacao_capacidade,valor_producao_nominal,consumo_intermediario_nominal,valor_adicionado_nominal
2,43,6,O_007,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,55669.43074701475,60548.50735739354,53230.9434581623,53230.9434581623,53230.9434581623,49894.26557382596,58730.36355392231,49894.26557382596,0.0,3336.6778843363427,0.0,18538.22183216355,3336.6778843363427,0.0,0.0,0.0,0.0,0.0,0.0,1.1770964634607566,1.1770964634607566,0.05466022180118201,0.05469502155756488,0.2581988897471611,-0.06720818839113415,0.2414160974209722,7298.20707889208,,,,289823.65316651016,1.0,,inf,inf,,62657.955291282335,16220.368545212401,46437.58674606994
2,43,6,O_008,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,57517.44493216617,60548.50735739354,55902.13770220848,55902.13770220848,55902.13770220848,57977.124346444514,68277.98963006274,57977.124346444514,0.0,0.0,0.0,10014.676575732145,-2074.986644236036,0.0,0.0,0.0,0.0,0.0,0.0,1.177671200490473,1.177671200490473,0.06354491558034404,0.06358663370600005,0.2581988897471611,-0.037718819893494,0.24864131564679737,7696.56911922016,,,,304367.36071389366,1.0,,inf,inf,,65834.33761774359,17034.326598169573,48800.01101957401
2,43,6,O_009,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,62436.743913465245,60548.50735739354,63114.97555435418,63114.97555435418,63114.97555435418,59163.35893333226,69739.7926601963,59163.35893333226,0.0,3951.6166210219235,0.0,7348.507895269938,3951.6166210219235,0.0,0.0,0.0,0.0,0.0,0.0,1.1787666203803946,1.1787666203803946,0.0649029306273301,0.06494799677967932,0.2581988897471611,0.0036461758469931724,0.2591420467158497,8758.765234553844,,,,343638.7108008891,1.0,,inf,inf,,74397.8264295973,19232.20025244015,55165.62617715716
2,43,6,O_010,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,63347.1153813862,60548.50735739354,64572.406217218006,64572.406217218006,64572.406217218006,59740.33626978102,70447.79600255846,59740.33626978102,0.0,4832.069947436983,0.0,6129.809866378321,4832.069947436983,0.0,0.0,0.0,0.0,0.0,0.0,1.179233335487495,1.179233335487495,0.06556077332213095,0.06560735346896275,0.2581988897471611,-0.019067218706398104,0.2533223933980212,8991.156734401316,,,,351573.90509779414,1.0,,inf,inf,,76145.93396398345,19676.304018876763,56469.62994510669
2,43,6,O_011,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,62379.728413816076,60548.50735739354,62936.21850862693,62936.21850862693,62936.21850862693,62860.826999724406,74093.23648058984,62860.826999724406,0.0,75.39150890252495,0.0,3953.6696515832637,75.39150890252495,0.0,0.0,0.0,0.0,0.0,0.0,1.178686950474175,1.178686950474175,0.06895462736707435,0.06900231705282821,0.2581988897471611,0.039800085847493116,0.26868246753617187,8728.944146800777,,,,342665.44193401956,1.0,,inf,inf,,74182.09946830981,19177.729958032756,55004.36951027706
2,43,6,O_012,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,60437.86321847723,60548.50735739354,60486.336592461485,60486.336592461485,60486.336592461485,60765.967658456895,71612.94098538312,60765.967658456895,0.0,0.0,0.0,5440.690556056133,-279.6310659954106,0.0,0.0,0.0,0.0,0.0,0.0,1.1785040828756823,1.1785040828756823,0.06664676931079244,0.06669244176225711,0.2581988897471611,-0.011862495729419581,0.2551541016181119,8378.096576206282,,,,329326.7017080887,1.0,,inf,inf,,71283.39463240864,18431.2095135156,52852.185118893045
2,43,6,O_013,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,61971.52537810141,60548.50735739354,63099.84729744261,63099.84729744261,63099.84729744261,64650.8529745776,76248.31787844648,65278.854930311376,628.0019557337728,0.0,0.0,-2.7284841053187847e-12,-1551.0056771349919,0.0,0.0,0.0,0.0,0.0,0.0,1.1793861081528083,1.1793861081528083,0.07164780700606424,0.07100932358882307,0.2581988897471611,0.05479982167055627,0.27274301097673415,8795.755398257656,,,,343556.342794626,1.0,,inf,inf,,74419.08332916735,19227.590416757917,55191.492912409434
2,43,6,O_014,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,59485.30789316437,60548.50735739354,58996.48230051102,58996.48230051102,58996.48230051102,62402.77034272738,73531.3275657869,62402.77034272738,0.0,0.0,0.0,4370.0160730847965,-3406.288042216358,0.0,0.0,0.0,0.0,0.0,0.0,1.1783343457660524,1.1783343457660524,0.06843252181786923,0.0684790166959299,0.2581988897471611,0.03361512017388478,0.26702580418148675,8161.719662921562,,,,321214.97222280793,1.0,,inf,inf,,69517.58137407115,17977.22571905033,51540.355655020816
2,43,6,O_015,"O - Administração pública, defesa e seguridade social",industrial,1.184497793288698,62402.511580086146,60548.50735739354,63217.767891804426,63217.767891804426,63217.767891804426,62935.35612199152,74215.04956495324,62935.35612199152,0.0,282.4117698129048,0.0,3127.854517237957,282.4117698129048,0.0,0.0,0.0,0.0,0.0,0.0,1.1792266563344391,1.1792266563344391,0.06906670527352081,0.06911576040430913,0.2581988897471611,0.023456899941897882,0.26432702784424433,8802.112662107324,,,,344198.3787087249,1.0,,inf,inf,,74548.0770519792,19263.522815760432,55284.55423621877
2,43,6,P_001,P - Educação,industrial,1.184497793288698,34178.3933478555,34937.7334469168,33802.168209150164,33802.168209150164,33802.168209150164,32071.396927411588,37764.72163405982,32071.396927411588,0.0,1730.7712817385764,0.0,6580.236979700994,1730.7712817385764,37394.52662750276,37194.38943771914,-400.27437956724316,-200.13718978362158,1879.733190864319,1679.5960010806975,1.1775203219097112,1.1775203219097112,0.060957276458062884,0.06141240242204616,0.2581988897471611,-0.04401457836197388,0.24708084729840793,1607.5740197367309,0.03610027558877045,-0.013899724411229553,0.006328766820382387,457389.64803814987,1.0,33984.052387281394,42480.06548410174,42480.065484101746,0.791482315011245,39802.73999088471,7510.360696712054,32292.379294172653
